image_name,group_id
MAR20_1.jpg,mar20-airport-proxy-001
MAR20_10.jpg,mar20-airport-proxy-001
MAR20_100.jpg,mar20-airport-proxy-007
MAR20_1000.jpg,mar20-airport-proxy-005
MAR20_1001.jpg,mar20-airport-proxy-027
MAR20_1002.jpg,mar20-airport-proxy-022
MAR20_1004.jpg,mar20-airport-proxy-043
MAR20_1005.jpg,mar20-airport-proxy-001
MAR20_1006.jpg,mar20-airport-proxy-013
MAR20_1007.jpg,mar20-airport-proxy-048
MAR20_1008.jpg,mar20-airport-proxy-051
MAR20_1009.jpg,mar20-airport-proxy-041
MAR20_101.jpg,mar20-airport-proxy-007
MAR20_1010.jpg,mar20-airport-proxy-015
MAR20_1011.jpg,mar20-airport-proxy-043
MAR20_1012.jpg,mar20-airport-proxy-016
MAR20_1013.jpg,mar20-airport-proxy-056
MAR20_1014.jpg,mar20-airport-proxy-036
MAR20_1015.jpg,mar20-airport-proxy-016
MAR20_1016.jpg,mar20-airport-proxy-042
MAR20_1018.jpg,mar20-airport-proxy-042
MAR20_1019.jpg,mar20-airport-proxy-027
MAR20_102.jpg,mar20-airport-proxy-006
MAR20_1020.jpg,mar20-airport-proxy-042
MAR20_1021.jpg,mar20-airport-proxy-001
MAR20_1022.jpg,mar20-airport-proxy-013
MAR20_1023.jpg,mar20-airport-proxy-043
MAR20_1024.jpg,mar20-airport-proxy-045
MAR20_1025.jpg,mar20-airport-proxy-038
MAR20_1026.jpg,mar20-airport-proxy-013
MAR20_1027.jpg,mar20-airport-proxy-026
MAR20_1028.jpg,mar20-airport-proxy-021
MAR20_1029.jpg,mar20-airport-proxy-057
MAR20_103.jpg,mar20-airport-proxy-011
MAR20_1030.jpg,mar20-airport-proxy-040
MAR20_1031.jpg,mar20-airport-proxy-029
MAR20_1032.jpg,mar20-airport-proxy-049
MAR20_1033.jpg,mar20-airport-proxy-042
MAR20_1034.jpg,mar20-airport-proxy-042
MAR20_1035.jpg,mar20-airport-proxy-057
MAR20_1036.jpg,mar20-airport-proxy-036
MAR20_1037.jpg,mar20-airport-proxy-056
MAR20_1038.jpg,mar20-airport-proxy-034
MAR20_1039.jpg,mar20-airport-proxy-008
MAR20_104.jpg,mar20-airport-proxy-009
MAR20_1040.jpg,mar20-airport-proxy-003
MAR20_1041.jpg,mar20-airport-proxy-001
MAR20_1042.jpg,mar20-airport-proxy-022
MAR20_1043.jpg,mar20-airport-proxy-044
MAR20_1044.jpg,mar20-airport-proxy-056
MAR20_1045.jpg,mar20-airport-proxy-028
MAR20_1046.jpg,mar20-airport-proxy-012
MAR20_1047.jpg,mar20-airport-proxy-006
MAR20_1048.jpg,mar20-airport-proxy-050
MAR20_1049.jpg,mar20-airport-proxy-005
